time_ms,ub,lb,gap
0,,4,
0,,4,
1,,4,
1,,4,
1,,4,
1,,4,
1,,4,
2,,4,
2,27,4,0.851852
2,27,4,0.851852
2,27,4,0.851852
3,27,4,0.851852
3,27,4,0.851852
4,27,4,0.851852
4,27,4,0.851852
5,27,4,0.851852
5,27,4,0.851852
6,27,4,0.851852
6,27,4,0.851852
7,27,4,0.851852
7,27,4,0.851852
7,27,4,0.851852
7,27,4,0.851852
8,27,4,0.851852
8,27,4,0.851852
8,27,4,0.851852
8,27,4,0.851852
9,27,4,0.851852
9,27,4,0.851852
9,27,4,0.851852
9,27,4,0.851852
10,27,4,0.851852
10,27,4,0.851852
10,27,4,0.851852
11,27,4,0.851852
11,27,4,0.851852
11,27,4,0.851852
12,27,4,0.851852
12,27,4,0.851852
12,27,4,0.851852
12,27,4,0.851852
13,27,4,0.851852
13,27,4,0.851852
13,27,4,0.851852
14,27,4,0.851852
14,27,4,0.851852
14,27,4,0.851852
15,27,4,0.851852
15,27,4,0.851852
15,27,4,0.851852
16,27,4,0.851852
16,27,4,0.851852
16,27,4,0.851852
17,27,4,0.851852
17,27,4,0.851852
17,27,4,0.851852
18,27,4,0.851852
18,27,4,0.851852
18,27,4,0.851852
19,27,4,0.851852
19,27,4,0.851852
20,27,4,0.851852
20,27,4,0.851852
20,27,4,0.851852
21,27,4,0.851852
21,27,4,0.851852
21,27,4,0.851852
22,27,4,0.851852
22,27,4,0.851852
23,27,4,0.851852
23,27,4,0.851852
23,27,4,0.851852
24,27,4,0.851852
24,27,4,0.851852
25,27,4,0.851852
25,27,4,0.851852
25,27,4,0.851852
26,27,4,0.851852
26,27,4,0.851852
26,27,4,0.851852
27,27,4,0.851852
27,27,4,0.851852
28,27,4,0.851852
28,27,4,0.851852
28,27,4,0.851852
29,27,4,0.851852
29,27,4,0.851852
30,27,4,0.851852
30,27,4,0.851852
31,27,4,0.851852
31,27,4,0.851852
31,27,4,0.851852
32,27,4,0.851852
32,27,4,0.851852
33,27,4,0.851852
33,27,4,0.851852
33,27,4,0.851852
34,27,4,0.851852
34,27,4,0.851852
35,27,4,0.851852
35,27,4,0.851852
35,27,4,0.851852
36,27,4,0.851852
36,27,4,0.851852
37,27,4,0.851852
37,27,4,0.851852
38,27,4,0.851852
38,27,4,0.851852
39,27,4,0.851852
39,27,4,0.851852
40,27,4,0.851852
40,27,4,0.851852
40,27,4,0.851852
41,27,4,0.851852
41,27,4,0.851852
42,27,4,0.851852
42,27,4,0.851852
43,27,4,0.851852
43,27,4,0.851852
44,27,4,0.851852
44,27,4,0.851852
44,27,4,0.851852
45,27,4,0.851852
45,27,4,0.851852
46,27,4,0.851852
47,27,4,0.851852
47,27,4,0.851852
47,27,4,0.851852
48,27,4,0.851852
48,27,4,0.851852
49,27,4,0.851852
49,27,4,0.851852
50,27,4,0.851852
50,27,4,0.851852
51,26,4,0.846154
51,26,4,0.846154
52,26,4,0.846154
52,26,4,0.846154
53,26,4,0.846154
53,26,4,0.846154
53,26,4,0.846154
54,26,4,0.846154
55,26,4,0.846154
55,26,4,0.846154
56,26,4,0.846154
56,26,4,0.846154
57,26,4,0.846154
57,26,4,0.846154
58,26,4,0.846154
58,26,4,0.846154
59,26,4,0.846154
59,26,4,0.846154
60,26,4,0.846154
60,26,4,0.846154
61,26,4,0.846154
61,26,4,0.846154
62,26,4,0.846154
62,26,4,0.846154
63,26,4,0.846154
63,26,4,0.846154
64,26,4,0.846154
64,26,4,0.846154
65,26,4,0.846154
65,26,4,0.846154
66,26,4,0.846154
66,26,4,0.846154
67,26,4,0.846154
67,26,4,0.846154
68,26,4,0.846154
69,26,4,0.846154
69,26,4,0.846154
70,26,4,0.846154
70,26,4,0.846154
71,26,4,0.846154
71,26,4,0.846154
72,26,4,0.846154
72,26,4,0.846154
73,26,4,0.846154
73,26,4,0.846154
74,26,4,0.846154
74,26,4,0.846154
75,26,4,0.846154
75,26,4,0.846154
76,26,4,0.846154
76,26,4,0.846154
77,26,4,0.846154
77,26,4,0.846154
78,26,4,0.846154
78,26,4,0.846154
79,26,4,0.846154
79,26,4,0.846154
80,26,4,0.846154
80,26,4,0.846154
81,26,4,0.846154
82,26,4,0.846154
82,26,4,0.846154
83,26,4,0.846154
83,26,4,0.846154
84,26,4,0.846154
84,26,4,0.846154
85,26,4,0.846154
85,26,4,0.846154
86,26,4,0.846154
86,26,4,0.846154
87,26,4,0.846154
87,26,4,0.846154
88,26,4,0.846154
88,26,4,0.846154
89,26,4,0.846154
89,26,4,0.846154
90,26,4,0.846154
90,26,4,0.846154
91,26,4,0.846154
91,26,4,0.846154
92,26,4,0.846154
92,26,4,0.846154
93,26,4,0.846154
94,26,4,0.846154
94,26,4,0.846154
95,26,4,0.846154
95,26,4,0.846154
96,26,4,0.846154
96,26,4,0.846154
97,26,4,0.846154
97,26,4,0.846154
98,26,4,0.846154
99,26,4,0.846154
99,26,4,0.846154
100,26,4,0.846154
100,26,4,0.846154
101,26,4,0.846154
101,26,4,0.846154
102,26,4,0.846154
102,26,4,0.846154
103,26,4,0.846154
103,26,4,0.846154
104,26,4,0.846154
104,26,4,0.846154
105,26,4,0.846154
105,26,4,0.846154
106,26,4,0.846154
106,26,4,0.846154
107,26,4,0.846154
107,26,4,0.846154
108,26,4,0.846154
108,26,4,0.846154
109,26,4,0.846154
109,26,4,0.846154
110,26,4,0.846154
110,26,4,0.846154
111,26,4,0.846154
111,26,4,0.846154
112,26,4,0.846154
112,26,4,0.846154
113,26,4,0.846154
113,26,4,0.846154
114,26,4,0.846154
