time_ms,ub,lb,gap
5,51,47,0.0784314
5,51,47,0.0784314
5,51,47,0.0784314
6,51,47,0.0784314
7,51,47,0.0784314
7,51,47,0.0784314
8,51,47,0.0784314
8,51,47,0.0784314
9,51,47,0.0784314
9,51,47,0.0784314
10,51,47,0.0784314
10,51,47,0.0784314
11,50,47,0.06
11,50,47,0.06
11,50,47,0.06
11,50,47,0.06
12,50,47,0.06
12,50,47,0.06
13,50,47,0.06
13,50,47,0.06
14,50,47,0.06
14,50,47,0.06
15,50,47,0.06
15,50,47,0.06
16,50,47,0.06
16,49,47,0.0408163
16,49,47,0.0408163
16,49,47,0.0408163
17,49,47,0.0408163
17,49,47,0.0408163
17,49,47,0.0408163
17,49,47,0.0408163
18,49,47,0.0408163
18,49,47,0.0408163
18,49,47,0.0408163
19,49,47,0.0408163
19,49,47,0.0408163
20,49,47,0.0408163
20,49,47,0.0408163
21,49,47,0.0408163
21,49,47,0.0408163
22,49,47,0.0408163
22,49,47,0.0408163
23,49,47,0.0408163
23,49,47,0.0408163
24,49,47,0.0408163
24,49,47,0.0408163
25,49,47,0.0408163
25,49,47,0.0408163
25,48,47,0.0208333
25,48,47,0.0208333
26,48,47,0.0208333
26,48,47,0.0208333
26,48,47,0.0208333
26,48,47,0.0208333
27,48,47,0.0208333
27,48,47,0.0208333
27,48,47,0.0208333
28,48,47,0.0208333
28,48,47,0.0208333
29,48,47,0.0208333
29,48,47,0.0208333
29,48,47,0.0208333
30,48,47,0.0208333
30,48,47,0.0208333
30,48,47,0.0208333
31,48,47,0.0208333
31,48,47,0.0208333
32,48,47,0.0208333
32,48,47,0.0208333
33,48,47,0.0208333
33,48,47,0.0208333
34,48,47,0.0208333
34,48,47,0.0208333
34,48,47,0.0208333
35,48,47,0.0208333
35,48,47,0.0208333
36,48,47,0.0208333
36,48,47,0.0208333
36,48,47,0.0208333
37,48,47,0.0208333
37,48,47,0.0208333
38,48,47,0.0208333
38,48,47,0.0208333
39,48,47,0.0208333
39,48,47,0.0208333
40,48,47,0.0208333
40,48,47,0.0208333
40,48,47,0.0208333
41,48,47,0.0208333
41,48,47,0.0208333
41,48,47,0.0208333
42,48,47,0.0208333
42,48,47,0.0208333
43,48,47,0.0208333
43,48,47,0.0208333
44,48,47,0.0208333
44,48,47,0.0208333
44,48,47,0.0208333
45,48,47,0.0208333
45,48,47,0.0208333
45,48,47,0.0208333
46,48,47,0.0208333
46,48,47,0.0208333
47,48,47,0.0208333
47,48,47,0.0208333
48,48,47,0.0208333
48,48,47,0.0208333
48,48,47,0.0208333
49,48,47,0.0208333
49,48,47,0.0208333
50,48,47,0.0208333
50,48,47,0.0208333
51,48,47,0.0208333
51,48,47,0.0208333
51,48,47,0.0208333
52,48,47,0.0208333
52,48,47,0.0208333
53,48,47,0.0208333
53,48,47,0.0208333
53,48,47,0.0208333
54,48,47,0.0208333
54,48,47,0.0208333
55,48,47,0.0208333
55,48,47,0.0208333
56,48,47,0.0208333
56,48,47,0.0208333
56,48,47,0.0208333
57,48,47,0.0208333
57,48,47,0.0208333
58,48,47,0.0208333
58,48,47,0.0208333
58,48,47,0.0208333
59,48,47,0.0208333
59,48,47,0.0208333
60,48,47,0.0208333
60,48,47,0.0208333
61,48,47,0.0208333
61,48,47,0.0208333
61,48,47,0.0208333
62,48,47,0.0208333
62,48,47,0.0208333
63,48,47,0.0208333
63,48,47,0.0208333
64,48,47,0.0208333
64,48,47,0.0208333
65,48,47,0.0208333
65,48,47,0.0208333
66,48,47,0.0208333
66,48,47,0.0208333
67,48,47,0.0208333
67,48,47,0.0208333
68,48,47,0.0208333
68,48,47,0.0208333
69,48,47,0.0208333
69,48,47,0.0208333
69,48,47,0.0208333
70,48,47,0.0208333
70,48,47,0.0208333
71,48,47,0.0208333
71,48,47,0.0208333
72,48,47,0.0208333
72,48,47,0.0208333
72,48,47,0.0208333
73,48,47,0.0208333
73,48,47,0.0208333
74,48,47,0.0208333
74,48,47,0.0208333
75,48,47,0.0208333
75,48,47,0.0208333
76,48,47,0.0208333
76,48,47,0.0208333
77,48,47,0.0208333
77,48,47,0.0208333
78,48,47,0.0208333
78,48,47,0.0208333
78,48,47,0.0208333
79,48,47,0.0208333
79,48,47,0.0208333
80,48,47,0.0208333
81,48,47,0.0208333
81,48,47,0.0208333
82,48,47,0.0208333
82,48,47,0.0208333
83,48,47,0.0208333
83,48,47,0.0208333
84,48,47,0.0208333
84,48,47,0.0208333
85,48,47,0.0208333
85,48,47,0.0208333
86,48,47,0.0208333
86,48,47,0.0208333
87,48,47,0.0208333
87,48,47,0.0208333
88,48,47,0.0208333
88,48,47,0.0208333
89,48,47,0.0208333
89,48,47,0.0208333
90,48,47,0.0208333
90,48,47,0.0208333
91,48,47,0.0208333
91,48,47,0.0208333
92,48,47,0.0208333
92,48,47,0.0208333
93,48,47,0.0208333
93,48,47,0.0208333
94,48,47,0.0208333
94,48,47,0.0208333
95,48,47,0.0208333
95,48,47,0.0208333
96,48,47,0.0208333
96,48,47,0.0208333
97,48,47,0.0208333
97,48,47,0.0208333
98,48,47,0.0208333
99,48,47,0.0208333
99,48,47,0.0208333
100,48,47,0.0208333
100,48,47,0.0208333
101,48,47,0.0208333
101,48,47,0.0208333
102,48,47,0.0208333
102,48,47,0.0208333
103,48,47,0.0208333
103,48,47,0.0208333
104,48,47,0.0208333
105,48,47,0.0208333
105,48,47,0.0208333
106,48,47,0.0208333
106,48,47,0.0208333
107,48,47,0.0208333
107,48,47,0.0208333
108,48,47,0.0208333
108,48,47,0.0208333
109,48,47,0.0208333
109,48,47,0.0208333
110,48,47,0.0208333
110,48,47,0.0208333
111,48,47,0.0208333
111,48,47,0.0208333
112,48,47,0.0208333
112,48,47,0.0208333
113,48,47,0.0208333
113,48,47,0.0208333
114,48,47,0.0208333
114,48,47,0.0208333
115,48,47,0.0208333
115,48,47,0.0208333
116,48,47,0.0208333
117,48,47,0.0208333
117,48,47,0.0208333
118,48,47,0.0208333
118,48,47,0.0208333
119,48,47,0.0208333
119,48,47,0.0208333
120,48,47,0.0208333
120,48,47,0.0208333
121,48,47,0.0208333
121,48,47,0.0208333
122,48,47,0.0208333
122,48,47,0.0208333
123,48,47,0.0208333
123,48,47,0.0208333
124,48,47,0.0208333
124,48,47,0.0208333
125,48,47,0.0208333
125,48,47,0.0208333
126,48,47,0.0208333
126,48,47,0.0208333
127,48,47,0.0208333
127,48,47,0.0208333
128,48,47,0.0208333
128,48,47,0.0208333
129,48,47,0.0208333
129,48,47,0.0208333
130,48,47,0.0208333
