time_ms,ub,lb,gap
6,,71,
6,73,71,0.0273973
6,73,71,0.0273973
7,73,71,0.0273973
8,73,71,0.0273973
9,73,71,0.0273973
10,73,71,0.0273973
10,73,71,0.0273973
11,73,71,0.0273973
12,73,71,0.0273973
13,73,71,0.0273973
13,73,71,0.0273973
14,73,71,0.0273973
15,73,71,0.0273973
15,73,71,0.0273973
16,73,71,0.0273973
17,73,71,0.0273973
17,73,71,0.0273973
18,73,71,0.0273973
19,73,71,0.0273973
19,72,71,0.0138889
19,72,71,0.0138889
19,72,71,0.0138889
20,72,71,0.0138889
20,72,71,0.0138889
20,72,71,0.0138889
21,72,71,0.0138889
21,72,71,0.0138889
22,72,71,0.0138889
22,72,71,0.0138889
23,72,71,0.0138889
23,72,71,0.0138889
24,72,71,0.0138889
24,72,71,0.0138889
25,72,71,0.0138889
26,72,71,0.0138889
26,72,71,0.0138889
27,72,71,0.0138889
28,72,71,0.0138889
28,72,71,0.0138889
29,72,71,0.0138889
29,72,71,0.0138889
30,72,71,0.0138889
30,72,71,0.0138889
31,72,71,0.0138889
32,72,71,0.0138889
32,72,71,0.0138889
33,72,71,0.0138889
34,72,71,0.0138889
34,72,71,0.0138889
35,72,71,0.0138889
36,72,71,0.0138889
36,72,71,0.0138889
37,72,71,0.0138889
37,72,71,0.0138889
38,72,71,0.0138889
39,72,71,0.0138889
39,72,71,0.0138889
40,72,71,0.0138889
41,72,71,0.0138889
41,72,71,0.0138889
42,72,71,0.0138889
42,72,71,0.0138889
43,72,71,0.0138889
43,72,71,0.0138889
44,72,71,0.0138889
44,72,71,0.0138889
45,72,71,0.0138889
46,72,71,0.0138889
46,72,71,0.0138889
47,72,71,0.0138889
47,72,71,0.0138889
48,72,71,0.0138889
48,72,71,0.0138889
49,72,71,0.0138889
49,72,71,0.0138889
50,72,71,0.0138889
50,72,71,0.0138889
51,72,71,0.0138889
52,72,71,0.0138889
52,72,71,0.0138889
53,72,71,0.0138889
53,72,71,0.0138889
54,72,71,0.0138889
54,72,71,0.0138889
55,72,71,0.0138889
56,72,71,0.0138889
56,72,71,0.0138889
57,72,71,0.0138889
57,72,71,0.0138889
58,72,71,0.0138889
59,72,71,0.0138889
60,72,71,0.0138889
60,72,71,0.0138889
62,72,71,0.0138889
63,72,71,0.0138889
65,72,71,0.0138889
65,72,71,0.0138889
66,72,71,0.0138889
67,72,71,0.0138889
68,72,71,0.0138889
69,72,71,0.0138889
69,72,71,0.0138889
70,72,71,0.0138889
71,72,71,0.0138889
72,72,71,0.0138889
73,72,71,0.0138889
74,72,71,0.0138889
74,72,71,0.0138889
75,72,71,0.0138889
76,72,71,0.0138889
78,72,71,0.0138889
79,72,71,0.0138889
80,72,71,0.0138889
81,72,71,0.0138889
82,72,71,0.0138889
83,72,71,0.0138889
84,72,71,0.0138889
85,72,71,0.0138889
86,72,71,0.0138889
87,72,71,0.0138889
88,72,71,0.0138889
89,72,71,0.0138889
90,72,71,0.0138889
92,72,71,0.0138889
93,72,71,0.0138889
94,72,71,0.0138889
95,72,71,0.0138889
96,72,71,0.0138889
97,72,71,0.0138889
99,72,71,0.0138889
100,72,71,0.0138889
101,72,71,0.0138889
102,72,71,0.0138889
103,72,71,0.0138889
105,72,71,0.0138889
106,72,71,0.0138889
107,72,71,0.0138889
108,72,71,0.0138889
109,72,71,0.0138889
111,72,71,0.0138889
112,72,71,0.0138889
113,72,71,0.0138889
114,72,71,0.0138889
116,72,71,0.0138889
117,72,71,0.0138889
119,72,71,0.0138889
120,72,71,0.0138889
121,72,71,0.0138889
122,72,71,0.0138889
123,72,71,0.0138889
125,72,71,0.0138889
125,72,71,0.0138889
126,72,71,0.0138889
128,72,71,0.0138889
129,72,71,0.0138889
130,72,71,0.0138889
131,72,71,0.0138889
132,72,71,0.0138889
133,72,71,0.0138889
134,72,71,0.0138889
135,72,71,0.0138889
135,72,71,0.0138889
136,72,71,0.0138889
137,72,71,0.0138889
138,72,71,0.0138889
139,72,71,0.0138889
140,72,71,0.0138889
141,72,71,0.0138889
142,72,71,0.0138889
142,72,71,0.0138889
143,72,71,0.0138889
144,72,71,0.0138889
145,72,71,0.0138889
146,72,71,0.0138889
147,72,71,0.0138889
149,72,71,0.0138889
150,72,71,0.0138889
151,72,71,0.0138889
152,72,71,0.0138889
153,71,71,0
158,71,71,0
