time_ms,ub,lb,gap
17,,141,
18,,141,
18,153,141,0.0784314
18,153,141,0.0784314
18,153,141,0.0784314
19,153,141,0.0784314
20,153,141,0.0784314
20,153,141,0.0784314
21,153,141,0.0784314
22,153,141,0.0784314
22,153,141,0.0784314
23,153,141,0.0784314
24,153,141,0.0784314
25,153,141,0.0784314
25,153,141,0.0784314
26,153,141,0.0784314
27,153,141,0.0784314
28,153,141,0.0784314
28,153,141,0.0784314
29,153,141,0.0784314
30,153,141,0.0784314
31,153,141,0.0784314
31,153,141,0.0784314
32,153,141,0.0784314
33,153,141,0.0784314
34,153,141,0.0784314
35,153,141,0.0784314
36,153,141,0.0784314
37,153,141,0.0784314
37,153,141,0.0784314
38,153,141,0.0784314
39,153,141,0.0784314
40,153,141,0.0784314
41,153,141,0.0784314
42,153,141,0.0784314
43,153,141,0.0784314
44,153,141,0.0784314
45,153,141,0.0784314
46,153,141,0.0784314
47,153,141,0.0784314
47,153,141,0.0784314
48,153,141,0.0784314
49,153,141,0.0784314
50,153,141,0.0784314
51,153,141,0.0784314
52,153,141,0.0784314
53,153,141,0.0784314
54,153,141,0.0784314
56,153,141,0.0784314
57,153,141,0.0784314
58,153,141,0.0784314
59,153,141,0.0784314
60,153,141,0.0784314
61,153,141,0.0784314
62,153,141,0.0784314
63,153,141,0.0784314
64,153,141,0.0784314
65,153,141,0.0784314
66,153,141,0.0784314
68,153,141,0.0784314
69,153,141,0.0784314
70,153,141,0.0784314
71,153,141,0.0784314
72,153,141,0.0784314
73,153,141,0.0784314
74,153,141,0.0784314
76,153,141,0.0784314
77,153,141,0.0784314
78,153,141,0.0784314
79,153,141,0.0784314
80,153,141,0.0784314
82,153,141,0.0784314
83,153,141,0.0784314
84,153,141,0.0784314
85,153,141,0.0784314
86,153,141,0.0784314
88,153,141,0.0784314
89,153,141,0.0784314
90,153,141,0.0784314
92,153,141,0.0784314
93,153,141,0.0784314
94,153,141,0.0784314
96,153,141,0.0784314
97,153,141,0.0784314
98,153,141,0.0784314
99,153,141,0.0784314
101,153,141,0.0784314
102,153,141,0.0784314
103,153,141,0.0784314
105,153,141,0.0784314
106,153,141,0.0784314
107,153,141,0.0784314
109,153,141,0.0784314
110,153,141,0.0784314
112,153,141,0.0784314
113,153,141,0.0784314
114,153,141,0.0784314
116,153,141,0.0784314
117,153,141,0.0784314
119,153,141,0.0784314
120,153,141,0.0784314
122,153,141,0.0784314
123,153,141,0.0784314
125,153,141,0.0784314
126,153,141,0.0784314
128,153,141,0.0784314
129,153,141,0.0784314
131,153,141,0.0784314
132,153,141,0.0784314
134,153,141,0.0784314
135,153,141,0.0784314
137,153,141,0.0784314
138,153,141,0.0784314
140,153,141,0.0784314
141,153,141,0.0784314
143,153,141,0.0784314
144,153,141,0.0784314
146,153,141,0.0784314
147,153,141,0.0784314
149,153,141,0.0784314
151,153,141,0.0784314
152,153,141,0.0784314
154,153,141,0.0784314
155,153,141,0.0784314
157,153,141,0.0784314
158,153,141,0.0784314
160,153,141,0.0784314
162,153,141,0.0784314
163,153,141,0.0784314
165,153,141,0.0784314
166,153,141,0.0784314
168,153,141,0.0784314
170,153,141,0.0784314
171,153,141,0.0784314
173,153,141,0.0784314
175,153,141,0.0784314
177,153,141,0.0784314
178,153,141,0.0784314
180,153,141,0.0784314
182,152,141,0.0723684
183,152,141,0.0723684
184,152,141,0.0723684
185,152,141,0.0723684
186,152,141,0.0723684
187,152,141,0.0723684
188,152,141,0.0723684
189,152,141,0.0723684
190,152,141,0.0723684
190,152,141,0.0723684
191,152,141,0.0723684
191,152,141,0.0723684
192,152,141,0.0723684
192,152,141,0.0723684
193,152,141,0.0723684
194,152,141,0.0723684
196,152,141,0.0723684
197,152,141,0.0723684
199,152,141,0.0723684
200,152,141,0.0723684
201,152,141,0.0723684
203,152,141,0.0723684
204,152,141,0.0723684
205,152,141,0.0723684
206,152,141,0.0723684
208,152,141,0.0723684
209,152,141,0.0723684
210,152,141,0.0723684
211,152,141,0.0723684
213,152,141,0.0723684
214,152,141,0.0723684
215,152,141,0.0723684
