loop_cnt,region,inherit,reward,outcome,h,g,f
56,0,3,0.1,2,44,8,52
57,1,1,0.05,1,35,17,52
58,2,2,0.1,2,26,26,52
59,3,1,0.1,2,17,35,52
60,4,0,0.1,2,9,44,53
66,5,2,0.1,2,5,48,53
67,0,3,0.1,2,44,8,52
68,2,2,0.1,2,26,26,52
69,3,1,0.1,2,17,35,52
70,4,0,0,0,9,43,52
71,5,2,0.1,2,5,48,53
72,1,3,0.1,2,35,17,52
73,0,3,0.1,2,44,8,52
74,2,1,0.1,2,26,27,53
75,3,1,0.1,2,17,36,53
77,5,2,0.05,1,5,48,53
78,1,3,0.1,2,35,18,53
80,4,0,0.1,2,9,43,52
81,0,3,0.1,2,44,8,52
82,2,1,0.1,2,25,28,53
83,3,1,0.1,2,16,37,53
84,1,3,0.1,2,34,19,53
85,5,2,0.1,2,5,48,53
86,4,0,0.1,2,9,43,52
87,0,2,0.1,2,43,9,52
88,2,1,0.1,2,24,29,53
89,3,1,0.1,2,15,38,53
90,1,3,0.1,2,33,20,53
91,5,1,0.1,2,5,48,53
92,4,0,0.1,2,9,43,52
93,0,2,0.1,2,43,9,52
94,2,1,0.1,2,24,29,53
95,3,0,0.1,2,14,39,53
96,1,3,0.1,2,33,20,53
97,5,1,0.1,2,5,48,53
98,4,0,0.1,2,9,44,53
99,0,2,0.1,2,42,10,52
100,2,1,0.1,2,26,27,53
101,3,0,0.1,2,13,40,53
102,1,3,0.1,2,35,18,53
103,5,1,0.1,2,5,48,53
104,4,0,0,0,9,43,52
105,0,2,0.1,2,42,10,52
106,2,1,0.1,2,24,29,53
107,3,1,0.1,2,12,41,53
108,1,1,0.1,2,32,21,53
109,5,1,0,0,5,48,53
110,4,0,0,0,9,43,52
111,0,2,0.05,1,42,10,52
112,2,1,0.1,2,23,30,53
113,3,0,0.1,2,14,39,53
114,1,3,0.1,2,31,22,53
115,5,1,0,0,5,48,53
116,4,2,0.1,2,9,44,53
117,2,1,0.1,2,22,31,53
118,3,1,0.1,2,12,41,53
119,0,4,0.1,2,41,11,52
120,1,2,0.1,2,30,23,53
121,5,1,0.1,2,5,48,53
122,4,0,0,0,9,44,53
