loop_cnt,region,inherit,reward,outcome,h,g,f
61,0,3,0.1,2,46,8,54
62,1,10,0.1,2,36,18,54
63,2,9,0,0,29,28,57
64,3,4,0.1,2,19,38,57
72,4,3,0.1,2,18,39,57
83,0,3,0.1,2,46,8,54
84,1,8,0.1,2,37,17,54
85,3,6,0.1,2,19,38,57
87,4,4,0.1,2,18,39,57
88,2,10,0.1,2,29,28,57
89,0,3,0.1,2,46,8,54
90,1,8,0.1,2,36,19,55
91,3,6,0.1,2,19,38,57
92,4,4,0.1,2,18,39,57
93,2,10,0.1,2,29,28,57
94,0,4,0.1,2,45,9,54
95,1,6,0.1,2,35,20,55
96,3,5,0.1,2,18,39,57
97,4,4,0.1,2,18,39,57
99,2,8,0.1,2,28,29,57
100,0,4,0.1,2,45,9,54
101,1,5,0.1,2,35,20,55
102,3,4,0.1,2,19,39,58
103,4,4,0.1,2,17,40,57
104,2,8,0.1,2,27,30,57
105,0,3,0.1,2,44,10,54
106,1,6,0.1,2,35,21,56
107,3,5,0.1,2,18,39,57
108,4,3,0.1,2,17,40,57
109,2,8,0.1,2,27,30,57
110,0,3,0.1,2,44,10,54
111,1,9,0.1,2,34,22,56
112,3,5,0.1,2,19,38,57
113,4,4,0.1,2,17,40,57
114,2,6,0.1,2,26,31,57
115,0,4,0.1,2,45,11,56
116,1,10,0.1,2,34,22,56
117,3,5,0.1,2,18,39,57
118,4,3,0.1,2,17,40,57
119,2,7,0.1,2,27,30,57
120,0,3,0.1,2,43,11,54
121,1,6,0.1,2,34,21,55
123,3,4,0.1,2,19,39,58
124,4,4,0.1,2,17,40,57
125,2,9,0.1,2,25,32,57
126,0,3,0.1,2,43,11,54
127,1,9,0.1,2,34,22,56
128,3,4,0.1,2,19,39,58
129,4,3,0.1,2,17,40,57
131,2,6,0.1,2,26,31,57
132,0,3,0.1,2,42,12,54
133,1,9,0.1,2,34,22,56
134,3,4,0.1,2,19,38,57
135,4,2,0.1,2,17,40,57
136,2,6,0.1,2,26,31,57
137,0,8,0.1,2,41,13,54
138,1,8,0.1,2,33,23,56
140,3,5,0.1,2,18,39,57
141,4,3,0.1,2,17,41,58
142,2,6,0.1,2,26,31,57
143,0,8,0.1,2,40,14,54
144,1,8,0.1,2,32,24,56
145,3,4,0.1,2,19,39,58
146,4,5,0.1,2,17,41,58
147,2,7,0.1,2,25,32,57
148,0,8,0.1,2,40,14,54
149,1,12,0.1,2,34,23,57
150,3,5,0.1,2,18,39,57
151,4,2,0.1,2,17,40,57
152,2,7,0.1,2,24,33,57
153,0,8,0.1,2,39,15,54
154,1,12,0.1,2,34,23,57
155,3,2,0.1,2,17,40,57
156,4,3,0.1,2,17,40,57
158,2,7,0.1,2,24,33,57
159,0,8,0.1,2,40,14,54
160,1,9,0.1,2,33,23,56
162,3,3,0.1,2,17,40,57
163,4,3,0.1,2,17,41,58
