loop_cnt,region,inherit,reward,outcome,h,g,f
135,0,4,0.1,2,110,18,128
136,1,1,0.1,2,85,43,128
137,2,2,0.1,2,69,63,132
205,0,3,0.1,2,107,21,128
206,1,2,0.1,2,85,43,128
207,2,2,0.1,2,70,62,132
208,0,2,0.1,2,108,20,128
209,1,3,0.1,2,84,44,128
211,2,2,0.1,2,72,60,132
212,0,2,0.1,2,108,21,129
213,1,3,0.1,2,88,40,128
214,2,3,0.1,2,68,64,132
215,0,2,0.1,2,107,22,129
216,1,2,0.1,2,85,43,128
217,2,2,0.1,2,69,63,132
218,0,2,0.1,2,108,20,128
219,1,3,0.1,2,88,40,128
220,2,2,0.1,2,68,64,132
221,0,4,0.1,2,107,21,128
222,1,3,0.1,2,83,45,128
223,2,2,0.1,2,68,64,132
224,0,4,0.1,2,106,23,129
225,1,1,0.1,2,85,43,128
226,2,2,0.1,2,68,64,132
227,0,4,0.1,2,109,19,128
228,1,3,0.1,2,83,46,129
229,2,2,0,0,68,64,132
230,0,2,0.1,2,107,21,128
231,1,6,0.1,2,83,47,130
232,2,2,0,0,68,64,132
233,0,5,0.1,2,106,23,129
234,1,2,0,0,83,46,129
235,2,2,0.1,2,68,64,132
236,0,3,0.1,2,105,24,129
237,1,6,0.1,2,82,48,130
238,2,2,0.1,2,68,64,132
239,0,3,0.1,2,104,25,129
240,1,2,0.1,2,85,44,129
244,2,2,0.1,2,69,63,132
245,0,2,0.1,2,108,21,129
246,1,2,0.1,2,83,45,128
248,2,2,0.1,2,68,64,132
249,0,3,0.1,2,107,22,129
250,1,5,0.1,2,82,48,130
251,2,2,0.1,2,68,64,132
252,0,5,0.1,2,106,22,128
253,1,7,0.1,2,81,49,130
256,2,2,0.1,2,68,64,132
257,0,3,0.1,2,104,25,129
258,1,4,0.1,2,82,46,128
260,2,2,0.1,2,68,64,132
261,0,3,0.1,2,105,26,131
262,1,5,0.1,2,82,48,130
263,2,2,0.1,2,70,62,132
264,0,3,0.1,2,103,26,129
265,1,2,0.1,2,83,45,128
267,2,5,0.1,2,71,61,132
268,0,4,0.1,2,106,24,130
269,1,7,0.1,2,83,49,132
270,2,2,0.1,2,68,64,132
271,0,5,0.1,2,106,23,129
272,1,5,0.1,2,82,48,130
273,2,2,0.1,2,68,64,132
274,0,3,0.1,2,104,25,129
275,1,7,0.1,2,81,49,130
276,2,2,0.1,2,68,64,132
277,0,4,0.1,2,107,24,131
278,1,8,0.1,2,81,50,131
279,2,2,0.1,2,68,64,132
280,0,8,0.1,2,105,23,128
281,1,5,0.1,2,81,50,131
286,2,2,0.1,2,68,64,132
287,0,3,0.1,2,104,25,129
288,1,6,0.1,2,81,50,131
289,2,2,0,0,68,64,132
290,0,3,0.1,2,105,26,131
291,1,7,0.1,2,81,50,131
292,0,3,0.1,2,103,26,129
296,2,5,0.1,2,69,63,132
297,1,8,0.1,2,83,49,132
298,0,3,0.1,2,103,26,129
299,2,2,0.1,2,68,64,132
300,1,6,0.1,2,82,49,131
301,0,4,0.1,2,103,26,129
302,2,2,0.1,2,68,64,132
303,1,5,0.1,2,81,47,128
304,0,4,0.1,2,106,24,130
305,2,2,0,0,68,64,132
306,1,5,0.1,2,82,48,130
307,0,3,0.1,2,103,27,130
308,1,4,0,0,82,48,130
310,2,2,0,0,68,64,132
311,0,3,0.1,2,104,25,129
312,1,5,0.1,2,81,50,131
313,2,2,0.1,2,68,64,132
314,0,3,0.1,2,102,27,129
315,1,8,0.1,2,81,51,132
316,2,2,0.1,2,69,63,132
317,0,3,0.1,2,103,26,129
318,1,5,0.1,2,81,50,131
320,2,4,0.1,2,68,64,132
321,0,3,0.1,2,102,28,130
322,1,6,0.1,2,81,49,130
323,2,1,0,0,68,64,132
324,0,3,0.1,2,104,26,130
325,1,6,0,0,81,50,131
326,0,3,0.1,2,103,27,130
328,2,1,0.1,2,68,64,132
329,0,3,0.1,2,101,29,130
330,1,7,0.1,2,81,51,132
331,2,2,0,0,68,64,132
332,0,3,0.1,2,101,29,130
333,1,7,0.1,2,81,49,130
334,2,3,0.1,2,69,63,132
335,0,4,0.1,2,104,24,128
337,1,9,0.1,2,82,50,132
338,2,2,0.1,2,69,63,132
339,0,3,0.1,2,101,28,129
340,1,9,0.1,2,81,51,132
341,2,1,0.1,2,68,64,132
342,0,3,0.1,2,103,27,130
343,1,11,0.1,2,81,51,132
345,2,1,0.1,2,68,64,132
346,0,3,0.1,2,102,30,132
347,1,4,0.1,2,81,47,128
348,0,3,0.1,2,101,31,132
351,2,2,0.1,2,68,64,132
352,1,5,0.1,2,81,50,131
353,0,3,0.1,2,103,26,129
355,2,2,0.1,2,72,60,132
356,1,9,0.1,2,81,51,132
357,0,3,0.1,2,103,25,128
358,2,1,0,0,68,64,132
359,1,6,0.1,2,81,49,130
360,0,3,0.1,2,102,27,129
361,1,7,0.1,2,80,48,128
362,2,1,0,0,68,64,132
