map,scen,agents,solved,optimal,makespan,soc,comp_time_ms,final_gap,inherit_rows
empty-32-32,1,50,1,1,45,1395,26,0.000000,1024
empty-32-32,2,50,1,1,49,1441,11,0.000000,455
empty-32-32,3,50,1,0,60,1560,61325,0.033333,669277
empty-32-32,4,50,1,1,46,1313,5,0.000000,0
empty-32-32,5,50,1,1,54,1660,14,0.000000,739
empty-32-32,6,50,1,0,49,1464,62206,0.020408,674862
empty-32-32,7,50,1,0,52,1344,60458,0.019231,396374
empty-32-32,8,50,1,1,49,1436,20,0.000000,1218
empty-32-32,9,50,1,0,48,1526,61821,0.020833,683799
empty-32-32,10,50,1,1,55,1582,5,0.000000,0
empty-32-32,11,50,1,0,54,1646,62741,0.018519,1013340
empty-32-32,12,50,1,0,52,1493,60337,0.019231,361174
empty-32-32,13,50,1,1,47,1494,40,0.000000,2760
empty-32-32,14,50,1,1,50,1450,9,0.000000,347
empty-32-32,15,50,1,1,48,1420,10,0.000000,379
empty-32-32,16,50,1,0,50,1513,62185,0.060000,954873
empty-32-32,17,50,1,1,52,1352,5,0.000000,0
empty-32-32,18,50,1,0,52,1376,61877,0.019231,802207
empty-32-32,19,50,1,1,61,1562,36,0.000000,2597
empty-32-32,20,50,1,1,49,1377,25,0.000000,1733
random-32-32-20,1,50,1,0,62,2060,60388,0.096774,272443
random-32-32-20,2,50,1,0,61,1869,60623,0.032787,348765
random-32-32-20,3,50,1,0,55,1823,60982,0.072727,341070
random-32-32-20,4,50,1,0,57,1914,62237,0.035088,642401
random-32-32-20,5,50,1,0,58,1936,61401,0.103448,315036
random-32-32-20,6,50,1,0,63,2165,60714,0.158730,358149
random-32-32-20,7,50,1,1,56,1920,2117,0.000000,92731
random-32-32-20,8,50,1,0,67,2154,60378,0.223881,199418
random-32-32-20,9,50,1,0,75,2215,60498,0.213333,161502
random-32-32-20,10,50,1,0,53,1823,64447,0.018868,1345748
random-32-32-20,11,50,1,0,55,1886,62631,0.018182,867016
random-32-32-20,12,50,1,1,71,2267,165,0.000000,7172
random-32-32-20,13,50,1,0,61,2012,63144,0.016393,1021713
random-32-32-20,14,50,1,0,57,2013,60883,0.052632,309785
random-32-32-20,15,50,1,0,57,2097,60707,0.052632,386977
random-32-32-20,16,50,1,0,53,1665,61846,0.056604,754987
random-32-32-20,17,50,1,0,54,1927,60652,0.074074,283593
random-32-32-20,18,50,1,0,63,2312,61110,0.111111,398493
random-32-32-20,19,50,1,0,64,2052,60416,0.187500,220038
random-32-32-20,20,50,1,0,58,1907,60880,0.068966,546172
room-64-64-8,1,50,1,1,128,3938,4159,0.000000,47769
room-64-64-8,2,50,1,0,134,4410,60336,0.007463,251984
room-64-64-8,3,50,1,0,147,4336,60428,0.006803,343613
room-64-64-8,4,50,1,0,176,4849,60663,0.017045,479152
room-64-64-8,5,50,1,0,149,4810,60347,0.067114,286723
room-64-64-8,6,50,1,1,156,4709,1630,0.000000,40002
room-64-64-8,7,50,1,0,145,4507,62327,0.027586,792657
room-64-64-8,8,50,1,0,156,4542,60327,0.019231,277634
room-64-64-8,9,50,1,0,146,4036,60519,0.006849,277999
room-64-64-8,10,50,1,1,147,4401,872,0.000000,25662
room-64-64-8,11,50,1,0,137,4792,61161,0.021898,488328
room-64-64-8,12,50,1,0,164,4618,60194,0.097561,155007
room-64-64-8,13,50,1,0,148,3771,60267,0.047297,217604
room-64-64-8,14,50,1,0,135,4555,60390,0.059259,322955
room-64-64-8,15,50,1,0,131,4383,60599,0.007634,502200
room-64-64-8,16,50,1,0,153,4647,60237,0.111111,177018
room-64-64-8,17,50,1,0,147,5033,61176,0.054422,534434
room-64-64-8,18,50,1,0,164,5016,60159,0.146341,132333
room-64-64-8,19,50,1,0,150,4416,60490,0.046667,401087
room-64-64-8,20,50,1,0,121,4150,60340,0.049587,281835
