loop_cnt,region,inherit,reward,outcome,h,g,f
155,0,3,0.1,2,118,24,142
156,1,3,0.05,1,100,45,145
157,2,3,0.1,2,76,72,148
159,3,2,0.1,2,59,91,150
211,0,3,0.1,2,117,25,142
212,2,5,0.1,2,76,72,148
214,3,1,0.1,2,57,95,152
215,1,4,0.1,2,95,50,145
216,0,4,0.1,2,118,24,142
217,2,6,0.1,2,77,71,148
222,3,1,0.1,2,58,94,152
223,1,5,0.1,2,97,48,145
224,0,4,0.1,2,118,24,142
225,2,5,0.1,2,76,72,148
227,3,1,0.1,2,57,95,152
228,1,7,0.1,2,96,51,147
229,0,4,0.1,2,116,26,142
230,2,4,0.1,2,74,74,148
232,3,1,0.1,2,59,93,152
233,1,6,0.1,2,95,50,145
234,0,3,0.1,2,119,23,142
235,2,7,0.1,2,75,73,148
236,3,1,0.1,2,58,94,152
237,1,6,0.1,2,96,49,145
238,0,3,0.1,2,118,25,143
239,2,5,0.1,2,76,72,148
240,3,1,0,0,57,95,152
241,1,8,0.1,2,95,52,147
242,0,5,0.1,2,119,25,144
243,2,6,0.1,2,74,74,148
244,1,9,0.1,2,95,51,146
246,3,1,0.1,2,58,94,152
247,0,5,0.1,2,119,25,144
248,2,2,0.1,2,73,75,148
249,1,5,0.1,2,94,53,147
250,3,1,0.1,2,57,95,152
251,0,5,0.1,2,119,25,144
252,2,4,0.1,2,73,75,148
253,1,5,0.1,2,94,53,147
255,3,1,0.1,2,59,92,151
256,0,5,0.1,2,115,27,142
257,2,6,0.1,2,74,76,150
258,1,7,0.1,2,94,53,147
259,3,2,0.1,2,60,92,152
260,0,3,0.1,2,117,26,143
261,2,3,0.05,1,73,75,148
262,1,8,0.1,2,93,54,147
263,3,1,0,0,58,94,152
264,0,4,0.1,2,115,27,142
265,1,11,0.1,2,93,54,147
266,2,4,0.1,2,73,77,150
267,3,1,0.1,2,57,95,152
268,0,5,0.1,2,119,25,144
269,1,7,0.1,2,92,55,147
270,2,5,0.1,2,74,76,150
271,3,1,0.1,2,57,95,152
272,0,3,0.1,2,119,23,142
273,1,7,0.1,2,94,52,146
274,2,2,0.1,2,72,78,150
275,3,1,0.1,2,57,95,152
276,0,6,0.1,2,115,28,143
277,1,8,0.1,2,91,56,147
278,2,3,0.1,2,72,76,148
281,3,1,0.1,2,58,94,152
