loop_cnt,region,inherit,reward,outcome,h,g,f
82,0,4,0.1,2,44,12,56
83,1,8,0.1,2,35,24,59
84,2,5,0.1,2,22,38,60
85,3,5,0.1,2,14,46,60
86,4,0,0.05,1,12,65,77
96,5,0,0.1,2,9,70,79
97,0,4,0.1,2,44,12,56
98,1,9,0.1,2,35,25,60
99,2,5,0.1,2,22,38,60
100,3,5,0.1,2,14,46,60
101,5,0,0.05,1,9,70,79
102,4,0,0.1,2,12,65,77
103,0,4,0.1,2,43,13,56
104,1,8,0,0,35,25,60
105,2,3,0.1,2,21,39,60
106,3,6,0.1,2,14,48,62
107,4,0,0.1,2,12,65,77
108,5,0,0,0,9,70,79
109,0,7,0.1,2,42,14,56
110,2,2,0.1,2,21,39,60
111,3,5,0.1,2,14,49,63
112,4,0,0.1,2,12,65,77
113,1,10,0.1,2,35,25,60
114,5,0,0.1,2,9,70,79
115,0,4,0.1,2,43,13,56
116,2,1,0.1,2,20,40,60
117,3,6,0.1,2,14,48,62
118,4,0,0.1,2,12,65,77
119,1,11,0.1,2,35,25,60
120,5,0,0.05,1,9,70,79
121,0,9,0.1,2,41,15,56
122,2,1,0.1,2,20,40,60
123,3,4,0.1,2,14,49,63
124,4,1,0.1,2,11,66,77
125,1,10,0.1,2,34,26,60
126,5,0,0.1,2,9,70,79
127,0,6,0.1,2,42,14,56
128,2,3,0.1,2,21,39,60
129,3,1,0.1,2,13,50,63
130,4,0,0.1,2,11,66,77
131,1,10,0.1,2,34,26,60
132,5,0,0.1,2,9,70,79
133,0,7,0.1,2,40,16,56
134,2,1,0.1,2,19,41,60
135,3,5,0.1,2,14,49,63
136,4,0,0.1,2,11,66,77
137,1,9,0.1,2,33,27,60
138,5,1,0.1,2,9,70,79
139,0,7,0.1,2,40,17,57
140,2,1,0.1,2,18,42,60
141,3,4,0.1,2,14,49,63
142,4,1,0.1,2,11,67,78
143,1,10,0.1,2,34,26,60
144,5,1,0.1,2,9,70,79
145,0,5,0.1,2,40,17,57
146,2,3,0.1,2,17,43,60
147,3,5,0.1,2,14,47,61
148,4,1,0.1,2,11,68,79
149,1,10,0.1,2,33,27,60
150,5,0,0.1,2,9,70,79
151,0,8,0.1,2,40,16,56
152,2,1,0.1,2,19,41,60
153,3,5,0.1,2,14,47,61
154,4,1,0.1,2,10,69,79
155,1,9,0.1,2,32,28,60
156,5,0,0.05,1,9,70,79
157,0,6,0.1,2,42,14,56
158,2,3,0.1,2,21,39,60
159,3,5,0.1,2,14,48,62
160,4,1,0.1,2,9,70,79
161,1,7,0.1,2,33,27,60
165,5,0,0.1,2,9,70,79
166,0,9,0.1,2,40,16,56
167,2,3,0.1,2,17,43,60
168,3,6,0.1,2,14,48,62
169,4,2,0.1,2,8,71,79
170,1,6,0.1,2,32,28,60
171,5,0,0,0,9,70,79
172,0,9,0.1,2,40,17,57
173,2,4,0.1,2,17,44,61
174,3,6,0.1,2,14,49,63
176,4,1,0.1,2,10,69,79
177,1,8,0.1,2,32,28,60
178,5,0,0,0,9,70,79
179,0,4,0.1,2,40,18,58
180,2,2,0.1,2,20,40,60
181,3,4,0.1,2,13,50,63
182,4,0,0.1,2,9,70,79
183,1,5,0.1,2,31,29,60
184,0,5,0.1,2,39,18,57
185,2,1,0.1,2,19,41,60
186,3,5,0.1,2,14,49,63
187,4,0,0.1,2,9,70,79
189,5,0,0.1,2,9,70,79
190,1,5,0.1,2,31,29,60
191,0,8,0.1,2,40,16,56
192,2,3,0.1,2,17,43,60
193,3,2,0.1,2,13,50,63
195,4,0,0.1,2,8,71,79
196,5,1,0.1,2,8,71,79
197,1,5,0.1,2,30,30,60
198,0,6,0.1,2,38,19,57
199,2,4,0.1,2,17,44,61
200,3,5,0.1,2,14,49,63
203,4,0,0.1,2,8,71,79
204,5,0,0.1,2,8,71,79
205,1,4,0.1,2,30,30,60
206,0,4,0.1,2,40,18,58
207,2,3,0.1,2,17,44,61
