reduce_sec,add_K,add_Q,service_time_sec,mu,K,Q,total_cost,rho,throughput,side_buffer_rate,rejected_rate,profit_rate
3,2,2,12,5.0,5,4,30,0.7,3.456397036863076,0.460001272910573,0.04360296313692402,64.13984165986922
2,3,3,13,4.615384615384615,6,5,30,0.7583333333333334,3.4581452298490194,0.5174092852801327,0.04185477015098085,63.767987210209895
3,2,1,12,5.0,5,3,29,0.7,3.436924255703423,0.4027285131472379,0.06307574429657652,63.62438467999326
4,1,1,11,5.454545454545454,4,3,30,0.6416666666666667,3.442165660371793,0.4495018555416025,0.05783433962820704,63.51226817425683
2,3,2,13,4.615384615384615,6,4,29,0.7583333333333334,3.4441388809909146,0.46781049629769267,0.05586111900908518,63.46446007916418
2,3,1,13,4.615384615384615,6,3,28,0.7583333333333334,3.4251422320117,0.4005402323881673,0.07485776798829988,63.05278974147967
3,1,7,12,5.0,4,9,30,0.7,3.489757184771073,0.8119456490886627,0.010242815228926866,62.99229404584435
3,1,6,12,5.0,4,8,29,0.7,3.485324458570319,0.799653256061352,0.014675541429680864,62.868996880025136
3,2,0,12,5.0,5,2,28,0.7,3.408238093708488,0.3183576340725931,0.09176190629151212,62.86504361284365
3,1,5,12,5.0,4,7,28,0.7,3.47894666392738,0.7819669937370166,0.0210533360726203,62.69159724647285
2,2,8,13,4.615384615384615,5,10,30,0.7583333333333334,3.4864975418307536,0.8324992766809935,0.013502458169246218,62.66488287808974
2,2,7,13,4.615384615384615,5,9,29,0.7583333333333334,3.4821256040032975,0.8178489720609368,0.017874395996702666,62.563488423677384
4,1,0,11,5.454545454545454,4,2,29,0.6416666666666667,3.4083541974846145,0.3654084620448157,0.09164580251538548,62.494442177872195
2,3,0,13,4.615384615384615,6,2,27,0.7583333333333334,3.399129038354618,0.30842322773349484,0.10087096164538198,62.48906609586294
3,1,4,12,5.0,4,6,27,0.7,3.4697417952811422,0.7564409724941357,0.03025820471885764,62.43556198410403
2,2,6,13,4.615384615384615,5,8,28,0.7583333333333334,3.4763083754940864,0.7983555178838897,0.023691624505913632,62.428574631633204
4,0,6,11,5.454545454545454,3,8,30,0.6416666666666667,3.490430690311553,0.9025128496288666,0.009569309688447084,62.30143171854672
2,2,5,13,4.615384615384615,5,7,27,0.7583333333333334,3.4685453799125283,0.7723418245235356,0.031454620087471845,62.24853439943813
4,0,5,11,5.454545454545454,3,7,29,0.6416666666666667,3.48504590427504,0.8900330688874053,0.0149540957249599,62.13203066265277
3,1,3,12,5.0,4,5,26,0.7,3.456397036863076,0.7194346229249957,0.04360296313692402,62.06437485975384
2,2,4,13,4.615384615384615,5,6,26,0.7583333333333334,3.4581452298490194,0.7374910621069629,0.04185477015098085,62.007332995595256
4,0,4,11,5.454545454545454,3,6,28,0.6416666666666667,3.4765949152166518,0.870447055667561,0.023405084783348174,61.86616931549211
2,2,3,13,4.615384615384615,5,5,25,0.7583333333333334,3.4441388809909146,0.6905559762287181,0.05586111900908518,61.68249623971599
3,1,2,12,5.0,4,4,25,0.7,3.436924255703423,0.6654346534911635,0.06307574429657652,61.52273555724186
4,0,3,11,5.454545454545454,3,5,27,0.6416666666666667,3.4632789836228857,0.839586051064653,0.036721016377114245,61.44726077262707
